,sample_id,OM,ENR,CEC,pH,BpH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron,site_id,collect_date,V2,species
92,LFS6,26.9,150.0,20.9,5.7,6.49,83.0,134.0,2747.0,283.0,28.0,15.0,27.4,64.0,66.0,0.7,0.9,LFS,6/28/2021,0.250345752,exaltata
93,LFS7,31.9,150.0,18.7,5.3,6.35,137.0,107.0,2183.0,195.0,31.0,15.0,24.1,79.0,96.0,0.7,0.7,LFS,6/28/2021,0.27031741800000003,exaltata
94,LFS8,44.6,150.0,0.4,6.2,6.93,1.0,4.0,43.0,10.0,1.0,10.0,0.1,1.0,1.0,0.1,0.1,LFS,6/28/2021,0.242603207,exaltata
95,LFS9,45.6,150.0,17.9,5.9,6.62,115.0,96.0,2512.0,232.0,27.0,16.0,24.1,115.0,81.0,0.8,0.7,LFS,6/28/2021,0.5342088110000001,exaltata
96,LFS11,38.3,150.0,15.5,5.6,6.57,60.0,149.0,2004.0,170.0,33.0,16.0,20.8,54.0,146.0,0.6,0.6,LFS,6/28/2021,0.150532867,exaltata
97,LFS12,47.9,150.0,16.2,5.7,6.59,98.0,167.0,2097.0,212.0,24.0,17.0,21.9,119.0,149.0,0.9,0.7,LFS,6/28/2021,0.254647149,exaltata
98,LFS13,39.5,150.0,24.6,6.2,6.63,66.0,116.0,3771.0,283.0,24.0,16.0,43.5,63.0,60.0,1.0,1.2,LFS,6/28/2021,0.110557472,exaltata
99,LFS14,37.0,150.0,23.1,6.2,6.65,105.0,130.0,3492.0,292.0,22.0,15.0,33.7,141.0,51.0,1.0,1.2,LFS,6/28/2021,0.415349998,exaltata
100,LFS15,32.3,150.0,22.8,5.3,6.22,74.0,141.0,2701.0,217.0,34.0,15.0,21.0,64.0,82.0,0.7,1.0,LFS,6/28/2021,0.249776299,exaltata
101,RGT1,12.1,150.0,17.6,6.6,6.83,42.0,156.0,2831.0,240.0,13.0,16.0,8.5,59.0,121.0,2.0,1.3,RGT,6/21/2021,0.999927077,syriaca
102,RGT2,12.0,150.0,15.5,6.7,6.86,57.0,227.0,2492.0,209.0,10.0,15.0,4.4,60.0,98.0,1.1,1.0,RGT,6/21/2021,0.999282893,syriaca
103,RGT3,11.5,150.0,17.0,6.7,6.85,61.0,238.0,2720.0,226.0,10.0,16.0,4.0,68.0,92.0,1.0,1.0,RGT,6/21/2021,1.0,syriaca
104,RGT4,12.1,150.0,14.8,6.4,6.8,67.0,176.0,2181.0,249.0,10.0,16.0,4.0,55.0,95.0,1.0,0.6,RGT,6/21/2021,0.999999941,syriaca
105,RGT5,12.3,150.0,15.9,6.2,6.74,69.0,140.0,2264.0,274.0,6.0,14.0,3.4,72.0,100.0,1.2,0.8,RGT,6/21/2021,0.999508419,syriaca
106,RGT6,12.4,150.0,22.0,6.9,6.9,80.0,191.0,3411.0,486.0,10.0,15.0,3.7,75.0,120.0,2.1,1.2,RGT,6/21/2021,0.999971273,syriaca
107,RGT7,13.7,150.0,21.0,7.0,6.93,72.0,111.0,3588.0,329.0,12.0,15.0,4.7,69.0,101.0,1.5,1.1,RGT,6/21/2021,0.99999935,syriaca
108,HR1,23.2,150.0,8.6,6.1,6.81,59.0,68.0,1170.0,158.0,13.0,15.0,5.1,92.0,88.0,1.1,0.3,HR,5/21/2021,0.26191662600000004,quadrifolia
109,HR4,25.7,150.0,11.1,6.0,6.76,53.0,93.0,1455.0,219.0,13.0,15.0,4.9,82.0,116.0,0.9,0.4,HR,5/21/2021,0.014970116,quadrifolia
110,HR5,17.3,150.0,8.8,6.2,6.82,49.0,57.0,1191.0,187.0,11.0,14.0,4.2,72.0,79.0,0.9,0.4,HR,5/21/2021,0.128436202,quadrifolia
111,HR6,38.1,150.0,6.0,5.4,6.76,25.0,55.0,639.0,104.0,11.0,14.0,3.3,42.0,129.0,0.6,0.2,HR,5/21/2021,0.259317275,quadrifolia
112,PTW1,14.4,150.0,9.8,5.8,6.74,46.0,151.0,1272.0,132.0,10.0,15.0,2.4,73.0,68.0,1.3,0.4,PTW,6/21/2021,0.08724231,exaltata
113,PTW2,15.1,150.0,9.2,5.5,6.69,41.0,216.0,1030.0,127.0,11.0,16.0,2.2,77.0,86.0,1.2,0.4,PTW,6/21/2021,0.099424202,exaltata
114,PTW3,14.6,150.0,5.3,5.2,6.75,37.0,100.0,515.0,71.0,14.0,16.0,1.6,56.0,93.0,1.0,0.2,PTW,6/21/2021,0.24624796,exaltata
115,PTW4,13.6,150.0,5.9,5.5,6.78,23.0,126.0,647.0,91.0,9.0,16.0,1.6,51.0,67.0,1.2,0.3,PTW,6/21/2021,0.190611213,exaltata
116,PTW5,15.4,150.0,7.0,5.8,6.8,17.0,133.0,837.0,131.0,10.0,15.0,1.7,60.0,86.0,1.9,0.3,PTW,6/21/2021,0.24507513,exaltata
117,PTW6,10.2,150.0,6.7,5.8,6.8,17.0,102.0,841.0,100.0,11.0,14.0,1.7,61.0,66.0,1.4,0.4,PTW,6/21/2021,0.110320222,exaltata
118,LM1,41.0,150.0,6.3,5.7,6.8,26.0,72.0,786.0,95.0,12.0,15.0,5.5,181.0,78.0,0.6,0.2,LM,5/18/2021,0.996051975,quadrifolia
